episode,reward,epsilon,loss,success
1,-848,0.995,nan,0
2,-857,0.990025,nan,0
3,-749,0.985074875,1.0747283543301323,0
4,-785,0.9801495006250001,0.00914455187808926,0
5,-794,0.9752487531218751,0.0014374170816881815,0
6,-785,0.9703725093562657,0.0006765758153778734,0
7,-785,0.9655206468094844,0.0030488089276332177,0
8,-803,0.960693043575437,0.012851513788773446,0
9,-713,0.9558895783575597,0.007327900126038003,0
10,-866,0.9511101304657719,0.007518661652575247,0
11,-749,0.946354579813443,0.03544126661610789,0
12,-767,0.9416228069143757,0.009790835423627868,0
13,-803,0.9369146928798039,0.010067516084527597,0
14,-713,0.9322301194154049,0.016732315584667957,0
15,-695,0.9275689688183278,0.02099676158744842,0
16,-605,0.9229311239742362,0.030080522757171737,1
17,-740,0.918316468354365,0.039815474587958304,0
18,-767,0.9137248860125932,0.03344391132006422,0
19,-677,0.9091562615825302,0.04467458789004013,0
20,-695,0.9046104802746175,0.04257755873724818,0
21,-722,0.9000874278732445,0.07422131903236732,0
22,-758,0.8955869907338783,0.056022984329611066,0
23,-677,0.8911090557802088,0.04990418322384357,0
24,-722,0.8866535105013078,0.04951833162456751,0
25,-659,0.8822202429488013,0.055894892273936424,0
26,-749,0.8778091417340573,0.04283440939616412,0
27,-740,0.8734200960253871,0.036373921767808494,0
28,-551,0.8690529955452602,0.03995747645851225,0
29,-704,0.8647077305675338,0.04188092252239585,0
30,-767,0.8603841919146962,0.0391285934438929,0
31,-695,0.8560822709551227,0.09451866983901709,0
32,-668,0.851801859600347,0.0506712779821828,0
33,-695,0.8475428503023453,0.04915372489020228,0
34,-776,0.8433051360508336,0.04757194546982646,0
35,-668,0.8390886103705794,0.04331148403231055,0
36,-632,0.8348931673187264,0.0334687865851447,0
37,-632,0.8307187014821328,0.026664797214325516,0
38,-650,0.8265651079747222,0.025021092654205858,0
39,-857,0.8224322824348486,0.0221851641475223,0
40,-821,0.8183201210226743,0.021602229496929793,0
41,-668,0.8142285204175609,0.05729946674779057,0
42,-659,0.810157377815473,0.032675754418596624,0
43,-677,0.8061065909263957,0.03305642972700298,0
44,-686,0.8020760579717637,0.03037140694912523,0
